API,Count
chrome.tabs.create, 4125
chrome.extension.getURL, 2953
chrome.tabs.query, 2658
chrome.runtime.onMessage, 2477
chrome.runtime.sendMessage, 2198
chrome.tabs.onUpdated, 2121
chrome.tabs.executeScript, 2093
chrome.browserAction.onClicked, 2058
chrome.tabs.update, 2024
chrome.tabs.sendMessage, 1829
chrome.i18n.getMessage, 1755
chrome.extension.getBackgroundPage, 1686
chrome.storage.local, 1511
chrome.browserAction.setBadgeText, 1502
chrome.storage.sync, 1476
chrome.contextMenus.create, 1467
chrome.runtime.onInstalled, 1446
chrome.tabs.getSelected, 1439
chrome.browserAction.setIcon, 1432
chrome.extension.sendMessage, 1197
chrome.extension.onRequest, 1196
chrome.extension.onMessage, 1132
chrome.extension.sendRequest, 1088
chrome.runtime.getManifest, 1042
chrome.tabs.remove, 1006
chrome.tabs.get, 958
chrome.tabs.onRemoved, 936
chrome.windows.create, 928
chrome.notifications.create, 919
chrome.browserAction.setBadgeBackgroundColor, 909
chrome.runtime.lastError, 856
chrome.app.getDetails, 743
chrome.pageAction.show, 738
chrome.windows.getAll, 697
chrome.browserAction.setTitle, 682
chrome.tabs.onCreated, 680
chrome.tabs.onActivated, 680
chrome.runtime.id, 621
chrome.webRequest.onBeforeRequest, 573
chrome.windows.update, 561
chrome.notifications.onClicked, 495
chrome.runtime.onConnect, 485
chrome.notifications.clear, 483
chrome.windows.getCurrent, 479
chrome.tabs.getAllInWindow, 463
chrome.storage.onChanged, 453
chrome.management.getAll, 450
chrome.runtime.connect, 446
chrome.tabs.sendRequest, 438
chrome.tabs.reload, 413
chrome.contextMenus.removeAll, 377
chrome.tabs.captureVisibleTab, 375
chrome.contextMenus.onClicked, 373
chrome.cookies.get, 365
chrome.browserAction.setPopup, 364
chrome.windows.onFocusChanged, 362
chrome.extension.connect, 362
chrome.tabs.getCurrent, 348
chrome.extension.getViews, 347
chrome.tabs.insertCSS, 344
chrome.cookies.set, 332
chrome.extension.onConnect, 331
chrome.runtime.getURL, 326
chrome.cookies.getAll, 309
chrome.alarms.onAlarm, 309
chrome.notifications.onButtonClicked, 305
chrome.alarms.create, 303
chrome.windows.onRemoved, 298
chrome.webRequest.onHeadersReceived, 295
chrome.runtime.setUninstallURL, 292
chrome.windows.remove, 290
chrome.pageAction.onClicked, 287
chrome.history.search, 287
chrome.windows.get, 272
chrome.omnibox.onInputEntered, 271
chrome.bookmarks.getTree, 257
chrome.topSites.get, 256
chrome.pageAction.setIcon, 256
chrome.runtime.onMessageExternal, 252
chrome.commands.onCommand, 246
chrome.runtime.getBackgroundPage, 242
chrome.webRequest.onBeforeSendHeaders, 236
chrome.runtime.onStartup, 233
chrome.tabs.onReplaced, 231
chrome.management.launchApp, 227
chrome.windows.WINDOW_ID_CURRENT, 222
chrome.runtime.reload, 221
chrome.webNavigation.onBeforeNavigate, 216
